net_cost,self_sufficiency_pct,soh_drop_pct,degradation_cost,comfort_violation_kwh,battery_switching_events,control_effort_kw,peak_hour_grid_import_kwh,soc_bound_violations,avg_solve_time_ms,avg_forecast_confidence,scenario,controller,seed
229.50718731757,69.98588025003829,5.033768627254942,204.4883865272668,0.0,11,20.586817285545635,24.305683492432536,0,34.285254513532784,0.013955654976762516,Winter Storm Load Peak,DT-AAMPC (Proposed),1
189.1429179986985,69.95704201291342,4.030482087546217,163.9204573422632,0.0,15,22.740568794322456,24.52961679854728,0,30.965053819095882,0.013955654976762516,Winter Storm Load Peak,DT-AAMPC (Proposed),2
202.33651033623363,70.02201407782816,4.358092618634957,177.33155056754947,0.0,15,22.22407838951505,24.420156102861,0,32.70594531290448,0.013955654976762516,Winter Storm Load Peak,DT-AAMPC (Proposed),3
151.44269636835128,70.15633596211886,3.1121562057888963,127.11293716388843,0.0,15,16.25978762309699,20.96647016104615,0,29.90993159682552,0.013955654976762516,Winter Storm Load Peak,DT-AAMPC (Proposed),4
450.74318925145366,61.89935059345662,10.345413166934925,420.38296390542484,0.0,71,259.5972036347108,36.17027392057709,220,0.029682117883567116,0.013955654976762516,Winter Storm Load Peak,PID Droop,0
450.6547925964232,61.905262834547514,10.343633244417983,420.30325708570723,0.0,67,259.8491243524362,36.14347883623111,220,0.024682812434346283,0.013955654976762516,Winter Storm Load Peak,PID Droop,1
450.3768667448289,61.911408243710966,10.336296698501467,420.0257461420441,0.0,71,260.4694639579428,36.147487697828474,221,0.023870312664560817,0.013955654976762516,Winter Storm Load Peak,PID Droop,2
450.6966136075014,61.90411569693781,10.344158523797942,420.3420820815226,0.0,69,259.18885580834194,36.14479147973958,223,0.02182395817524391,0.013955654976762516,Winter Storm Load Peak,PID Droop,3
450.577480561735,61.916234429783444,10.342359832512782,420.2292422771669,0.0,69,259.5039405422118,36.14042964223948,220,0.009610243346792736,0.013955654976762516,Winter Storm Load Peak,PID Droop,4
398.66368957377705,68.10284829722755,9.182950971853455,373.63844311074206,0.0,103,257.46245907821384,23.500261180871004,18,18.57682065964481,0.013955654976762516,Winter Storm Load Peak,Classical MPC (Naive Forecast),0
401.8710886002882,67.89397748890187,9.2550768335394,376.7353279249975,0.0,99,260.0943161666209,23.600410131556487,29,18.208622395731155,0.013955654976762516,Winter Storm Load Peak,Classical MPC (Naive Forecast),1
383.4606769087006,68.11717860683217,8.809640376085227,358.40387713960837,0.0,93,225.49909467336735,23.628984978470765,17,17.996194097248818,0.013955654976762516,Winter Storm Load Peak,Classical MPC (Naive Forecast),2
401.56981414298747,67.93048104077381,9.248901350042782,376.5866951747319,0.0,89,277.90933383748234,22.972849678892185,23,19.001097569369247,0.013955654976762516,Winter Storm Load Peak,Classical MPC (Naive Forecast),3
401.67098482825327,68.17854630212597,9.258551289779493,376.76059886862174,0.0,81,248.21296274962282,23.134787711713464,19,21.94958941004188,0.013955654976762516,Winter Storm Load Peak,Classical MPC (Naive Forecast),4
122.00330107990828,47.335631052348546,1.9186879748746777,77.81595914465018,0.0,40,35.47948274482459,34.6150108834029,0,32.17350659724616,0.013973637771155937,Cloud-Cover Cascade,DT-AAMPC (Proposed),0
125.71783884347948,47.039050605495156,1.9967835732544237,80.97710940850104,0.0,31,39.09501797386475,34.83717390920554,0,31.677846527802306,0.013973637771155937,Cloud-Cover Cascade,DT-AAMPC (Proposed),1
118.9294121528096,47.37033092641162,1.8537193188400636,75.12990569483249,0.0,40,33.03859544786886,32.662035097511605,0,33.75845833347234,0.013973637771155937,Cloud-Cover Cascade,DT-AAMPC (Proposed),2
126.9672265526809,47.384064729591856,2.0472935228317612,83.01146468405571,0.0,34,39.22492797717734,33.932977201198085,0,36.82151961788804,0.013973637771155937,Cloud-Cover Cascade,DT-AAMPC (Proposed),3
119.27713967148793,47.49493855513043,1.8624748939658042,75.5249393451849,0.0,36,33.02773325493347,33.592399253754515,0,33.743451736225126,0.013973637771155937,Cloud-Cover Cascade,DT-AAMPC (Proposed),4
154.39853451701703,43.032063247577256,2.651801119922914,107.60328519153325,0.0,67,188.43194617189914,39.92385022890629,378,0.025085416938155605,0.013973637771155937,Cloud-Cover Cascade,PID Droop,0
154.21243973025446,43.03903431604106,2.6476050464100953,107.43115407515872,0.0,67,188.51159418945872,39.86865571106114,378,0.02891250008158547,0.013973637771155937,Cloud-Cover Cascade,PID Droop,1
154.24759286170297,43.04575084110347,2.6483384685618283,107.46074839759973,0.0,67,187.8616760581774,39.904346923407,378,0.028531423645795764,0.013973637771155937,Cloud-Cover Cascade,PID Droop,2
154.1378559726818,43.04279210107247,2.6457910831276688,107.350351209779,0.0,67,188.13115875168108,39.896453442719036,378,0.02881996503371435,0.013973637771155937,Cloud-Cover Cascade,PID Droop,3
